Respondent ID,Collector ID,How many years have you climbed? (0-1),How many years have you climbed? (2-3),How many years have you climbed? (4-5),How many years have you climbed? (6-8),How many years have you climbed? (9-15),How many years have you climbed? (15+),Hand & Elbow,Shoulder,Spine,Pelvis/Hip,Knee,Foot & Ankle,Other,List Injury,How long did the whole recovery process take before you were climbing at your same grade or better?,How long did the whole recovery process take before you were climbing at your same grade or better?.1,How long did the whole recovery process take before you were climbing at your same grade or better?.2,How long did the whole recovery process take before you were climbing at your same grade or better?.3,How long did the whole recovery process take before you were climbing at your same grade or better?.4,How long did the whole recovery process take before you were climbing at your same grade or better?.5,How long did the whole recovery process take before you were climbing at your same grade or better?.6,How long did the whole recovery process take before you were climbing at your same grade or better?.7,Did you require surgery? And are you satisfied with the surgery?,Did you require surgery? And are you satisfied with the surgery?.1,Did you require surgery? And are you satisfied with the surgery?.2,Did you require surgery? And are you satisfied with the surgery?.3,Did you require surgery? And are you satisfied with the surgery?.4,What surgery did you require?  (leave blank if none)
,,0-1 year,2-3 years,4-5 years,6-8 years,9-15,15+,Hand & Elbow,Shoulder,Spine,Pelvis/Hip,Knee,Foot & Ankle,Other,Open-Ended Response,Less than 1 month,1-2 months,2-6 months,6-12 months,1-2 years,2-5 years,I've never recovered and climb worse,I'm still recovering,Yes and satisfied with surgery,Yes and not satisfied with surgery,No,"No, but I had prescribed physical/occupational therapy",Other (please specify),Open-Ended Response
6888021896,167721399.0,,2,,,,,,,3,,,,,L1 compression fracture ,,,,,,,,8,,,,4,,
6887853742,167721399.0,,2,,,,,1,,,,,,7,"climber's elbow, strained tendon in wrist, impaled leg on branch (walking at base of climb, not incurred while climbing) ",,,,4,,,,,,2,,,,for leg - internal and external sutures (and lots of PT)
6887175780,167721399.0,1,,,,,,,,,,,6,,Toe injury on slab,1,,,,,,,,,,3,,,
6757368545,167721399.0,,2,,,,,1,2,3,4,5,6,7,,,,,,,,,,,,,,,
6660405736,167721399.0,1,,,,,,,,,,5,,,knees were sore for weeks following an intense climbing session,1,,,,,,,,,,3,,,
6627770522,167721399.0,,2,,,,,,2,,,,,,L rotator cuff,,,,,,,,,,,,,,none
6606399342,167721399.0,,2,,,,,1,2,,,,6,,Tedonitis Med epicondyle; rotator cuff tear; sprained ankle,,,,,5,,,,,,,4,,
6605870200,167721399.0,,2,,,,,1,,,,,,,"tendonitis from weight lifting, aggravated by climbing, minor tendon strain in hand",1,,,,,,,,,,3,,,
6605044886,167721399.0,1,,,,,,,,,4,5,,,Sports hernia,,,3,,,,,,,,,4,,
6604250474,167721399.0,1,,,,,,1,,,,,,,"A2, A4 pulleys strains, lateral and medial epicondylitis",1,,,,,,,,,,3,,,
6602473831,167721399.0,,2,,,,,1,,,,,,,Muscle sprain in little finger (no obvious cause except overuse),,,,4,,,,,,,3,,,
6601473042,167721399.0,,2,,,,,1,,,,,,,Climbers elbow both arms,1,,,,,,,,,,3,,,
6601389777,167721399.0,,2,,,,,,,,,,6,,Dislocated toes,,,,4,,,,,,,3,,,
6601159206,167721399.0,1,,,,,,1,,,,,6,,Broken foot ,,,3,,,,,,,,,4,,
6601050124,167721399.0,,2,,,,,1,2,,,,,,Thumb injury - tendinitis,,,,,,,,8,,,3,,,
6601000974,167721399.0,1,,,,,,1,,,,,,,A2 pulley in right pinky finger,,2,,,,,,,,,3,,,
6600937747,167721399.0,1,,,,,,,,,,5,6,,Tendon stress,,,,,,,,8,,,3,,,
6600903260,167721399.0,1,,,,,,1,,,,,,,Elbow tendonitis,,,,,,,,8,,,3,,,
6600840104,167721399.0,1,,,,,,1,2,,,5,6,,Meniscus tear ,,2,,,,,,,,,3,,,
6600697765,167721399.0,1,,,,,,1,,,,,6,,Believed toe sprain and wrist tendon issue,,,3,,,,,,,,3,,,
6600692735,167721399.0,,2,,,,,1,2,,,,,7,"A2 ring finger 3 times, hamstring, shoulder",,2,,,,,,,,,3,,,
6600676073,167721399.0,1,,,,,,1,,,,,6,,"Tweaky tendons, wrist sprains from hitting holds while falling, sprained ankle while taking a lead fall and hitting it on a jug",1,,,,,,,,,,3,,,
6600670410,167721399.0,,2,,,,,,2,,,,,,"Sprained while doing a weird boulder problem, didnt dislocate but felt loose and in pain",1,,,,,,,,,,3,,,
6600666968,167721399.0,1,,,,,,1,2,,,,,,Finger sprains and rotator cuff sprain,1,,,,,,,,,,3,,,
6600561021,167721399.0,,2,,,,,,2,,,,,,Torn labrum ,,,3,,,,,,,,,4,,
6600548995,167721399.0,1,,,,,,1,2,,,5,,,ligaments strain ,,,3,,,,,,,,3,,,
6600543051,167721399.0,1,,,,,,1,2,3,,5,6,,"Sprained knuckle, twisted ankle, sprained MCL, lower back pain, left shoulder tendonosis, mild De Quervain's",,,,,,,,8,,,,4,,
6600518075,167721399.0,,2,,,,,1,2,,,,,,"Left Shoulder, streched rotorcuff or joint",,2,,,,,,,,,3,,,
6600517716,167721399.0,,2,,,,,1,,,,,,,Medial epiconylitis (golfer’s elbow),,,3,,,,,,,,3,,,
6600509619,167721399.0,,2,,,,,1,,,,,,7,All kinds of wrist injuries,,,,4,,,,,,,3,,,
6600477715,167721399.0,,2,,,,,1,2,,,,,,"sprained rotator cuff, pulleys A2",,2,,,,,,,,,3,,,
6600475814,167721399.0,1,,,,,,,,,,,6,,sprained ankle,,,3,,,,,,,,,4,,
6600461886,167721399.0,1,,,,,,,2,,,,,,Shoulder Impengent (self diagnosed),,,3,,,,,,,,3,,,
6600453084,167721399.0,,2,,,,,1,,,,,,,Ulnar collateral ligament injury,,,3,,,,,,,,,4,,
6600445761,167721399.0,,2,,,,,,2,,,,6,,Strained shoulder (both R and L) - trying to scale too quickly. Foot/Ankle injury was associated more with long distance mountain running (and peak scrambling) than climbing itself.,,,,4,,,,,,,,4,,
6600407770,167721399.0,,2,,,,,1,,,,,,,Collateral ligament sprain,,,,,,,,8,,,3,,,
6600407226,167721399.0,,2,,,,,,,,,,,7,Broken collar bone,,,3,,,,,,1,,,,,Plate and 6 screws
6600402407,167721399.0,,2,,,,,1,,,,,,,"Trigger finger, collateral ligament injuries, synovitis",,,,,,,,8,,,3,,,Cortisone injections
6600379267,167721399.0,,2,,,,,,,,,,,7,"Leg. Spiral fracture of tibia, fracture of fibula",,,3,,,,,,1,,,,,"Intermedullary nail, 4 screws. Removed at 6 months due to non-healing sore, removal also resolved never-ending knee pain at top of nail."
6600378502,167721399.0,,2,,,,,1,,3,,,6,,"Pully strain, ruptured achilles tendon, sciatica",,2,,,,,,,1,,,,,achilles tendon repair
6600318801,167721399.0,,2,,,,,1,2,,,,,7,"Unknown wrist injury, shoulder was damaged rotator cuff.",,2,,,,,,,,,3,,,
6600312667,167721399.0,,2,,,,,1,,,,,,,Middle and ring finger tendons pulled,,2,,,,,,,,,3,,,
6600263261,167721399.0,,2,,,,,,,,,,6,,Trimalleolar Fracture,,,,4,,,,,1,,,,,Open reduction internal fixation
6600241354,167721399.0,,2,,,,,1,,,,,,,Tendonitis in the elbow,,2,,,,,,,,,3,,,
6600221314,167721399.0,,2,,,,,1,,,,,,,Tendonitis in Wrist and thumb (de quervain's),,,,,,,7,,,,,4,,
6600180873,167721399.0,1,,,,,,1,,,,,,,medial epicondylitis,,,3,,,,,,,,3,,,
6600162221,167721399.0,1,,,,,,,,,,,,7,Triceps muscle strain,1,,,,,,,,,,3,,,
6600102305,167721399.0,,2,,,,,,,,,5,6,,"Sprained ankle, twisted knee",,,,4,,,,,,,3,,,
6600087490,167721399.0,1,,,,,,1,2,,,,,,Sublaxation. Tendonitis. Partial rotator cuff tear. ,1,,,,,,,,,,3,,,
6600065283,167721399.0,,2,,,,,1,,,,,,,near wrist tendonitis ,,,,,,,,8,,,3,,,
6600028243,167721399.0,,2,,,,,1,,,,,,,Tendon pulley strain,,2,,,,,,,,,3,,,
6600021488,167721399.0,,2,,,,,1,,,,,,,"Collateral ligament in finger, subluxation in elbow",,,,,,,,8,,,3,,,
6600020578,167721399.0,,2,,,,,,,,,,6,,Moderate sprain.,,2,,,,,,,,,3,,,
6600007520,167721399.0,,2,,,,,1,,,,5,,,"Popped Finger, sprained knee, A2 pulley injury",,,3,,,,,,,,3,,,
6599997772,167721399.0,,2,,,,,1,,,,,,,Wrist sprain,,,3,,,,,,,,3,,,
6599995496,167721399.0,,2,,,,,1,,,,,,,Not exactly sure. Very crimpy stuff causes a sharp pain in my elbow which radiates into the bicep and tricep,,,,,,,7,,,,3,,,
6599994090,167721399.0,,2,,,,,,,,,5,,,Torn ACL & meniscus ,,,,,,,,8,,,,4,,I am not sure; I am still unsure if I need surgery-my appointment with my orthopaedic surgeon is in a month! 
6599987592,167721399.0,,2,,,,,1,2,,,,,7,"A2 pulley, sprained pectoral, bicep sprain",,,3,,,,,,,,3,,,
6599970590,167721399.0,,2,,,,,1,,,,5,,,Golfer elbow and knee pain,,2,,,,,,,,,,4,,
6599967134,167721399.0,1,,,,,,1,,,,,,,Tearing of tendons,,,3,,,,,,,,,4,,
6599960026,167721399.0,1,,,,,,,,,,,6,,Grade 3 lateral sprain combined with a grade 1 high ankle sprain,,,,,,,,8,,,,4,,Sports physio
6599956728,167721399.0,,2,,,,,1,,,,,6,,"Sprained ankle, strained both index fingers (first dorsal interosseous muscle on both)",,,,4,,,,,,,3,,,
6599954235,167721399.0,,2,,,,,1,2,,,,,,"Dislocated shoulder while climbing, but had previous ongoing issues with it. Also the general elbow paint that comes along with climbing. ",1,,,,,,,,,,,4,,
6599944564,167721399.0,,2,,,,,1,2,3,,,6,7,Everything,,,,,,,7,,,,3,,,
6599935324,167721399.0,,2,,,,,1,,,4,,,,strained tendon in left hand/arm; torn labrum in both hips,,,,4,,,,,,,3,,,"I'm supposed to get surgery on my hip, but it doesn't affect my climbing so fuck that (hurt it running)"
6599926341,167721399.0,1,,,,,,1,2,,,,,,"""Climbers elbow"", nerve pain in posterior/lateral deltoids",1,,,,,,,,,,3,,,
6599923844,167721399.0,1,,,,,,,2,,,,,,,1,,,,,,,,,,,4,,
6599921272,167721399.0,,2,,,,,,,,,,6,,Sprain,1,,,,,,,,,,3,,,
6599918095,167721399.0,1,,,,,,1,,,4,,,,"A2 pulley (of course!) on left ring finger, and left hip flexor - although my left hip flexors are slightly weird/out of place, inherited from mother. Like muscle glides over each other or maybe tendon, can become bad if I slip while its snagged against another flexor.",,2,,,,,,,,,,4,,"Went to PT for hip flexor, they did muscle activation therapy/massage. Didn't do anything for a week and its been getting better since. A2 took like 2-3weeks"
6599906471,167721399.0,,2,,,,,1,,,,,,,finger,,,3,,,,,,,,3,,,
6599905574,167721399.0,1,,,,,,1,,3,,,,,Upper back muscle flares-ups that my chiropractor improved beyond pre-injury. Now dealing with what seems like the beginnings of tendinosis in both elbows.,1,,,,,,,,,,3,,,
6599904835,167721399.0,,2,,,,,1,,,,,,,"Finger, wrist, and elbow tendinitis ",,,,4,,,,,,,3,,,
6599903733,167721399.0,,2,,,,,1,,,,,,,A4 Pulley rupture,,,,,,,,8,,,3,,,
6599900160,167721399.0,1,,,,,,1,,,,,,,finger pulley,,,,,,,,8,,,3,,,
6599898801,167721399.0,,2,,,,,,,,,,6,,Gastroc tear ,,,3,,,,,,,,3,,,
6599896344,167721399.0,,2,,,,,,2,,,,,,Dislocation / torn labrum,,,,,,,,8,1,,,,,Bankart repair
6599892456,167721399.0,1,,,,,,1,,,,,,,strained finger,,2,,,,,,,,,3,,,
6599888612,167721399.0,1,,,,,,1,2,,,,,,Tearing shoulder tissue. Swollen middle finger ,,,3,,,,,,,,3,,,
6599871649,167721399.0,,2,,,,,1,,,,,6,,"Hand, wrist, and elbow tendonitis. Sprained ankle",,,3,,,,,,,,3,,,
6599870298,167721399.0,,2,,,,,1,2,3,,,,,"Elbow tendinitis, mild shoulder pain, lower back pain",1,,,,,,,,,,3,,,
6599863941,167721399.0,1,,,,,,1,,,,,6,,Elbow tendon tension; Twisted ankle,1,,,,,,,,,,3,,,
6599845404,167721399.0,1,,,,,,1,2,3,,,,,"A2 pulley injury, pulled rib, pinched neck nerve",1,,,,,,,,,,,4,,
6599843210,167721399.0,,2,,,,,1,,,,,,,Tendonitis,,,,,,,,8,,,,4,,
6599841639,167721399.0,,2,,,,,1,,,,,6,,"Two sprained ankles, and a tendon tear in my ring finger in my right hand ",,2,,,,,,,,,3,,,
6599839370,167721399.0,,2,,,,,1,2,,,,6,,"Hurt rotator cuff, sprained ankle, golfers elbow ",1,,,,,,,,,,3,,,
6599836076,167721399.0,,2,,,,,1,,,,,,,Hurt some sort of Tendon in my wrist while pulling hard on an undercling 2 finger pocket,,,3,,,,,,,,3,,,
6599808352,167721399.0,,2,,,,,1,2,,4,,6,,Climber's elbow (mild-moderate); A4 ring finger tweaks (mild); shoulder impingement/bursitis(?? moderate+); hip flexor.. strain(? moderate); ankle sprain (grade III),,,3,,,,,,,,,4,,Recovery time response re ankle sprain
6599799071,167721399.0,,2,,,,,1,,,,,,,Tennis elbow,,,,,,,,8,,,3,,,
6599787735,167721399.0,,2,,,,,1,2,,,,,,"broken collarbone (not climbing related), elbow tendinitis, a2 pulley injury in left middle finger, dislocated right thumb",,,,4,,,,,1,,,,,"just for collarbone, others did not require surgery. "
6599784482,167721399.0,1,,,,,,1,,,,,,7,Sprained ankle; sprained wrist,1,,,,,,,,,,3,,,
6599764931,167721399.0,,2,,,,,1,2,,,,6,7,"torn lumerical, sprained pulley, tfcc, golfer elbow, shoulder",,,3,,,,,,,,3,,,
6599762213,167721399.0,1,,,,,,,,,,5,,,Lateral Collateral Ligament Tweak,1,,,,,,,,,,3,,,
6599761210,167721399.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6599750992,167721399.0,1,,,,,,1,,,,,,,Tweaked tendons in non-dominant pointer and middle finger,,,,4,,,,,,,3,,,
6599745872,167721399.0,1,,,,,,1,,,,,,,Both medial and lateral on left elbow. Still have after taking last couple of months off. 7 weeks of PT didn't help. Just sitting here for Christmas break doing nothing.,,,,,,,,8,,,,4,,
6599743175,167721399.0,,2,,,,,1,,,,,,,Sore/strained A4 pulleys in fingers.,,2,,,,,,,,,3,,,
6599743157,167721399.0,,2,,,,,,,,,,6,,Fractured calcaneus,,,3,,,,,,,,,4,,
6599741064,167721399.0,,2,,,,,1,,,,,,,Overuse injuries on my elbow,,,3,,,,,,,,3,,,Blank
6599740214,167721399.0,,2,,,,,1,,,,,6,,"L ankle sprain, R mid finger injury",,2,,,,,,,,,3,,,
6599728127,167721399.0,,2,,,,,,,,,,6,,Severe ankle sprain,,,3,,,,,,,,,4,,
6599727806,167721399.0,1,,,,,,1,,,,,6,,"Sore tendons in hand, sprained ankle",1,,,,,,,,,,3,,,
6599719434,167721399.0,1,,,,,,1,,,,,,,Finger pain (tightness in morning only) ,,,,,,,,8,,,3,,,
6599717881,167721399.0,1,,,,,,1,,,,,,,"Tendon Injury (""Tennis Elbow"")",,2,,,,,,,,,3,,,
6599717141,167721399.0,,2,,,,,1,2,,,,,,"Upper left arm lacerations, right hand lacerations, left middle finger pull strain",1,,,,,,,,,,,4,,
6599705155,167721399.0,,2,,,,,1,2,,,,,,Tendonitis (wrist/hand pain). Rotator cuff injury,,,,,,,,8,,,,4,,
6599702435,167721399.0,,2,,,,,,,,,,6,,Fractured left talus and broken right ankle,,,,4,,,,,1,,,,,Screws and plate in talus and screws and plate in ankle
6599701039,167721399.0,,2,,,,,1,2,,,,,7,Upper back tightness that led to extreme neck pain,,,3,,,,,,,,3,,,
6599700879,167721399.0,1,,,,,,1,2,,,5,,,"Tendinitis, slammed my kneecap into a bolt and had a hard time putting weight on that leg",,2,,,,,,,,,3,,,
6599696616,167721399.0,,2,,,,,1,,,,,,,"A2 pulley partial tear, elbow tendonitis",,,,,5,,,,,,3,,,
6599694658,167721399.0,1,,,,,,,,,,,6,,Level 3 Ankle Sprain,,,,,,,,8,,,,4,,
6599686554,167721399.0,,2,,,,,,,,,,6,,Torn anterior talofibular ankle ligament,,,,4,,,,,,,,4,,
6599686065,167721399.0,1,,,,,,,,,,,6,,"Broken metatarsal, crush injury to foot/ankle ",,,3,,,,,,,,3,,,
6599685182,167721399.0,,2,,,,,1,2,,,,,7,"Chostochondrisis (chest strain), adjusted shoulder muscles and forearm muscles, skin tearing on hands ",,2,,,,,,,,,3,,,
6599685118,167721399.0,1,,,,,,1,2,,,,,,"Injured tendons in wrist, back of forearm and shoulder",1,,,,,,,,,,3,,,
6599681102,167721399.0,,2,,,,,,,,,,,7,No Injuries. Ankle pain and wrist pain lasting several weeks but eventually going away......,1,,,,,,,,,,3,,,
6599668365,167721399.0,1,,,,,,,2,,,,,7,Tricep,1,,,,,,,,,,3,,,
6599666185,167721399.0,,2,,,,,1,,,4,5,,,"Tendon overuse, IT band",1,,,,,,,,,,3,,,
6599663062,167721399.0,,2,,,,,1,,,,5,,,"Pulled a pully in left middle finger, pulled muscle below knee.",1,,,,,,,,,,3,,,
6599656886,167721399.0,,2,,,,,,,,,,6,,Broken ankle and sprained ankle,,,,4,,,,,,,3,,,
6599655019,167721399.0,,2,,,,,1,,,,,,,"Wrist repetitive stress injury, A4 pulley",,,3,,,,,,,,3,,,
6599653886,167721399.0,1,,,,,,1,,,,,,,My wrist hurts sometimes after I climb,1,,,,,,,,,,3,,,
6599646500,167721399.0,1,,,,,,1,,,,,6,,"Flexor strain, ankle sprain",,,3,,,,,,,,3,,,
6599643765,167721399.0,,2,,,,,,2,,,,,,"Recurrent dislocations, bankart repair",,,,4,,,,,1,,,,,Bankart repair
6599633511,167721399.0,1,,,,,,1,,,,,,,"Tendonitis, Golfer's elbow",1,,,,,,,,,,3,,,
6599614789,167721399.0,,2,,,,,1,,,,,,,Tendonitis in elbow,,2,,,,,,,,,3,,,
6599614372,167721399.0,,2,,,,,1,,,,,6,,"Two torn a2 pulleys both hands ring finger, twisted ankles",,2,,,,,,,,,3,,,
6599601725,167721399.0,,2,,,,,1,,,,,,,Left ring finger m2 pulley tear (grade 1),,,3,,,,,,,,3,,,
6599599527,167721399.0,,2,,,,,1,2,,,,6,7,Concussiom,,2,,,,,,,,,3,,,
6599585345,167721399.0,,2,,,,,1,,,,,,,"Pully tear, partial",,,3,,,,,,,,3,,,
6599567770,167721399.0,,2,,,,,1,2,,,,,,"Frequent shoulder subluxation, a2 pulley strain",,2,,,,,,,,,3,,,
6599551878,167721399.0,,2,,,,,1,,,,,6,,Fractured thumb. Twisted ankle. ,,,,,,,,8,,,3,,,
6599551356,167721399.0,,2,,,,,1,2,,,5,,,Tendinitis mostly,1,,,,,,,,,,3,,,
6599551257,167721399.0,1,,,,,,1,2,,,,,,"Flexor tendonitis, bicipital tendonitis/impingement",,,,,,,,8,,,3,,,"Previous shoulder surgery, symptoms similar to pre-decompression"
6599536203,167721399.0,,2,,,,,1,,,,,6,,"Ankle dislocation, unknown finger injury",,,3,,,,,,,,3,,,
TOTAL,,47,87,34,38,20,9,181,75,16,12,32,86,30,233,36,37,68,34,6,1,5,46,25,2,157,49,,
,,0.19831223628692,0.367088607594937,0.143459915611814,0.160337552742616,0.0843881856540084,0.0379746835443038,0.763713080168776,0.316455696202532,0.0675105485232068,0.0506329113924051,0.135021097046414,0.362869198312236,0.126582278481013,,0.151898734177215,0.156118143459916,0.286919831223629,0.143459915611814,0.0253164556962025,0.00421940928270042,0.0210970464135021,0.194092827004219,0.105485232067511,0.00843881856540084,0.662447257383966,0.206751054852321,,
,,2.37974683544304,8.81012658227848,8.60759493670886,13.4683544303797,10.6329113924051,7.74683544303798,,,,,,,,182 returned to sport,0.197802197802198,0.203296703296703,0.373626373626374,0.186813186813187,0.032967032967033,0.0054945054945055,xx,xx,,,,,,
,,51.6455696202532,,,,,,0.418981481481481,0.173611111111111,0.037037037037037,0.0277777777777778,0.0740740740740741,0.199074074074074,0.0694444444444445,,4.40384615384615,recovery in months avg,,,,,,,,,,,,
,,4.30379746835443,,,,,avg grade,,,,,,,,,,,,,,,,unable to return to sport,,,,,,
,,,9,5,9,4,,13,11,4,1,5,17,3,percent in op group,surgical recovery count,,,,,,,op,nonop,,0.218884120171674,,,
,,,0.333333333333333,0.185185185185185,0.333333333333333,0.148148148148148,,0.481481481481481,0.407407407407407,0.148148148148148,0.037037037037037,0.185185185185185,0.62962962962963,0.111111111111111,,,1,7,6,5,,,8,43,,,,,
,,,8,11.1111111111111,28,18.6666666666667,,0.240740740740741,0.203703703703704,0.0740740740740741,0.0185185185185185,0.0925925925925926,0.314814814814815,0.0555555555555556,,,"check, total surgeries",,,,,,,,,,,,
,,65.7777777777778,5.48148148148148,,,,surg grade,,,,,,,,,27,0.0333333333333333,0.233333333333333,0.2,0.166666666666667,0,0,0.296296296296296,0.184331797235023,,,,,
,,,yrs,,,,,,,,,,,,,19,0.0526315789473684,0.368421052631579,0.315789473684211,0.263157894736842,,,,,,,,,
,,47,78,29,29,16,9,168,64,12,11,27,69,27,,9.13157894736842,recovery in months avg,,,,,,,,,,,,
,,0.223809523809524,0.371428571428571,0.138095238095238,0.138095238095238,0.0761904761904762,0.0428571428571429,0.8,0.304761904761905,0.0571428571428571,0.0523809523809524,0.128571428571429,0.328571428571429,0.128571428571429,,,,,,,,,,,,,,,
,,2.68571428571429,8.91428571428572,8.28571428571429,11.6,9.6,8.74285714285714,0.444444444444444,0.169312169312169,0.0317460317460317,0.0291005291005291,0.0714285714285714,0.182539682539683,0.0714285714285714,,nonop recovery,,,,,,,,,,,,,
,,49.8285714285714,4.15238095238095,,,,nonop grade,,,,,,,,,36,36,61,28,1,1,5,38,,,,,,
,,,yrs,,,,,,,,,,,,,206,163,,,,,,,,,,,,
